Name;Original Doc Size;Doc Size w Metadata;Create RUs;Read RUs;Replace RUs;Delete RUs;Query RUs;Item Count;Total Size;Consistency Level;Index Policy Scenario
document.complex1;1,964;2,169;50,1;1,14;14,1;50,1;;;;Eventual;indexpolicy.default
document.simple1;0,038;0,243;5,71;1;10,67;5,71;;;;Eventual;indexpolicy.default
document.simple2;0,798;1,003;5,9;1;10,67;5,9;;;;Eventual;indexpolicy.default
query.simple1;;;;;;;2,82;1;0,243;Eventual;indexpolicy.default
query.simple2;;;;;;;2,84;1;1,003;Eventual;indexpolicy.default
document.complex1;1,964;2,169;6,67;1,14;13,33;6,67;;;;Eventual;indexpolicy.defaultlazy
document.simple1;0,038;0,243;4,95;1;9,9;4,95;;;;Eventual;indexpolicy.defaultlazy
document.simple2;0,798;1,003;4,95;1;9,9;4,95;;;;Eventual;indexpolicy.defaultlazy
query.simple1;;;;;;;2,82;1;0,243;Eventual;indexpolicy.defaultlazy
query.simple2;;;;;;;2,84;1;1,003;Eventual;indexpolicy.defaultlazy
document.complex1;1,964;2,169;50,1;1,14;14,1;50,1;;;;ConsistentPrefix;indexpolicy.default
document.simple1;0,038;0,243;5,71;1;10,67;5,71;;;;ConsistentPrefix;indexpolicy.default
document.simple2;0,798;1,003;5,9;1;10,67;5,9;;;;ConsistentPrefix;indexpolicy.default
query.simple1;;;;;;;2,82;1;0,243;ConsistentPrefix;indexpolicy.default
query.simple2;;;;;;;2,84;1;1,003;ConsistentPrefix;indexpolicy.default
document.complex1;1,964;2,169;6,67;1,14;13,33;6,67;;;;ConsistentPrefix;indexpolicy.defaultlazy
document.simple1;0,038;0,243;4,95;1;9,9;4,95;;;;ConsistentPrefix;indexpolicy.defaultlazy
document.simple2;0,798;1,003;4,95;1;9,9;4,95;;;;ConsistentPrefix;indexpolicy.defaultlazy
query.simple1;;;;;;;2,82;1;0,243;ConsistentPrefix;indexpolicy.defaultlazy
query.simple2;;;;;;;2,84;1;1,003;ConsistentPrefix;indexpolicy.defaultlazy
document.complex1;1,964;2,169;50,1;1,14;14,1;50,1;;;;Session;indexpolicy.default
document.simple1;0,038;0,243;5,71;1;10,67;5,71;;;;Session;indexpolicy.default
document.simple2;0,798;1,003;5,9;1;10,67;5,9;;;;Session;indexpolicy.default
query.simple1;;;;;;;2,82;1;0,243;Session;indexpolicy.default
query.simple2;;;;;;;2,84;1;1,003;Session;indexpolicy.default
document.complex1;1,964;2,169;6,67;1,14;13,33;6,67;;;;Session;indexpolicy.defaultlazy
document.simple1;0,038;0,243;4,95;1;9,9;4,95;;;;Session;indexpolicy.defaultlazy
document.simple2;0,798;1,003;4,95;1;9,9;4,95;;;;Session;indexpolicy.defaultlazy
query.simple1;;;;;;;2,82;1;0,243;Session;indexpolicy.defaultlazy
query.simple2;;;;;;;2,84;1;1,003;Session;indexpolicy.defaultlazy
document.complex1;1,964;2,169;50,1;2,28;14,1;50,1;;;;BoundedStaleness;indexpolicy.default
document.simple1;0,038;0,243;5,71;2;10,67;5,71;;;;BoundedStaleness;indexpolicy.default
document.simple2;0,798;1,003;5,9;2;10,67;5,9;;;;BoundedStaleness;indexpolicy.default
query.simple1;;;;;;;5,64;1;0,243;BoundedStaleness;indexpolicy.default
query.simple2;;;;;;;5,68;1;1,003;BoundedStaleness;indexpolicy.default
document.complex1;1,964;2,169;6,67;2,28;13,33;6,67;;;;BoundedStaleness;indexpolicy.defaultlazy
document.simple1;0,038;0,243;4,95;2;9,9;4,95;;;;BoundedStaleness;indexpolicy.defaultlazy
document.simple2;0,798;1,003;4,95;2;9,9;4,95;;;;BoundedStaleness;indexpolicy.defaultlazy
query.simple1;;;;;;;5,64;1;0,243;BoundedStaleness;indexpolicy.defaultlazy
query.simple2;;;;;;;5,68;1;1,003;BoundedStaleness;indexpolicy.defaultlazy
document.complex1;1,964;2,169;50,1;2,28;14,1;50,1;;;;Strong;indexpolicy.default
document.simple1;0,038;0,243;5,71;2;10,67;5,71;;;;Strong;indexpolicy.default
document.simple2;0,798;1,003;5,9;2;10,67;5,9;;;;Strong;indexpolicy.default
query.simple1;;;;;;;5,64;1;0,243;Strong;indexpolicy.default
query.simple2;;;;;;;5,68;1;1,003;Strong;indexpolicy.default
document.complex1;1,964;2,169;6,67;2,28;13,33;6,67;;;;Strong;indexpolicy.defaultlazy
document.simple1;0,038;0,243;4,95;2;9,9;4,95;;;;Strong;indexpolicy.defaultlazy
document.simple2;0,798;1,003;4,95;2;9,9;4,95;;;;Strong;indexpolicy.defaultlazy
query.simple1;;;;;;;5,64;1;0,243;Strong;indexpolicy.defaultlazy
query.simple2;;;;;;;5,68;1;1,003;Strong;indexpolicy.defaultlazy
